Macrotema,Participante,Pergunta,Resposta,Códigos Iniciais
6. Captura de animais marinhos,20250607_1728,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,Tentativa e erro,descoberta por tentativa e erro
6. Captura de animais marinhos,20250607_1728,Como foi sua experiência ao tentar capturar um animal marinho?,Uma experiência boa.,experiência positiva
6. Captura de animais marinhos,20250607_1728,Como você sabia o momento certo para fechar as garras?,Quando eu vi o peixe.,fechamento baseado em pista visual
6. Captura de animais marinhos,20250607_1728,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,Às vezes. Mexendo com os controles e com os botões.,"dificuldade na ação de captura, resolução por tentativa e erro"
6. Captura de animais marinhos,20250607_1728," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Várias vezes.,gatilho perdido
6. Captura de animais marinhos,20250607_1903,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,"Pela orientação que ela deu anteriormente. Mostrou também o desenhozinho, mostrando que era o lateral.",descoberta por instrução
6. Captura de animais marinhos,20250607_1903,Como foi sua experiência ao tentar capturar um animal marinho?,"Eu achei um pouco difícil, porque quando ele tava muito próximo, eu não conseguia pensar que eu tinha que recuar o braço pra poder pegar ele meio que próximo de mim.","experiência difícil, problema com a noção de distância entre a garra e o peixe"
6. Captura de animais marinhos,20250607_1903,Como você sabia o momento certo para fechar as garras?,"É, eu tentei algumas vezes, né, e aí eu sentia que ele ia, mas às vezes parecia que o peixe não estava exatamente na garra. É como se tivesse um círculo que o peixe meio que reconhece que a garra encostou, se ele estivesse dentro daquele círculo, sabe? Próximo da garra, não necessariamente no meio da garrinha.","dificuldade na ação de captura, problema com a noção de distância entre a garra e o peixe"
6. Captura de animais marinhos,20250607_1903,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"Tive. Sim, mas justamente por não saber a parte da orientação do mapa, eu tava meio perdida de onde, como pegava. E depois disso, de quando ele ficava muito próximo, eu não consegui pensar que eu tinha que recuar um pouquinho pra poder pegar ele próximo. Mas eu fui tentando, testando, até conseguir pegar.","dificuldade na ação de captura, problema com a noção de distância entre a garra e o peixe"
6. Captura de animais marinhos,20250607_1903," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Não. Isso foi fácil de achar,gatilho de fácil localização
6. Captura de animais marinhos,20250607_1941,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,"Agora não lembro exatamente se ele... se o jogo ditou que seria ele, ou se... fui em teste e não lembro exatamente.","descoberta por instrução, descoberta por tentativa e erro"
6. Captura de animais marinhos,20250607_1941,Como foi sua experiência ao tentar capturar um animal marinho?,"Foi um pouco complexa, pelo tamanho do... pela interatividade, dificuldade de interatividade de entre a garra e o peixe. Mas acho que... é isso. Acho que não faz foge muito da proposta.","experiência difícil, dificuldade na ação de captura, problema com a noção de distância entre a garra e o peixe"
6. Captura de animais marinhos,20250607_1941,Como você sabia o momento certo para fechar as garras?,Quando vi que estava na distância correta ali.,fechamento por intuição
6. Captura de animais marinhos,20250607_1941,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"Sim, em alguns momentos, eu tava meio confuso, né? Sabia se o peixe tava... Se o movimento da garra, né? Tipo, ele faz assim, assim... Acaba... É... Ficando ruim um pouco a distância, né? A noção de distância. Ó, veio que deixei a garra na distância fixa, e aproveitei.","experiência difícil, fechamento por intuição, problema com a noção de distância entre a garra e o peixe"
6. Captura de animais marinhos,20250607_1941," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Não.,gatilho de fácil localização
6. Captura de animais marinhos,20250607_2206,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,"Acho que já explicou ali no começo, se não me engano. E depois é intuitivo assim, acho que é o gatilho principal ali, de atirar. Acho intuitivo que é o gatilho principal para... A principal ação do jogo, acho.","descoberta por instrução, experiência prévia"
6. Captura de animais marinhos,20250607_2206,Como foi sua experiência ao tentar capturar um animal marinho?,"No começo ficou legal, tem um teste ali, depois eu fui meio frustrado porque não consegui mais encontrar ele. Aí ficou incomodado, até achei que o jogo estava bugado em algum momento quando eu estava vendo, não sei se você não reparei. Eu estava vendo e achei que o jogo estava bugado, eu precisei tentar pegar qualquer coisa que vinha.",frustração após longo periodo de procura
6. Captura de animais marinhos,20250607_2206,Como você sabia o momento certo para fechar as garras?,"Não sabia, não era tão claro, sob isso o peixe já apertava indiscriminadamente.","falta de clareza sobre momento de captura, fechamento por intuição"
6. Captura de animais marinhos,20250607_2206,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"Não, abri e fechava as garras achei tranquilo.","experiência positiva, abir e fechar sem dificuldade"
6. Captura de animais marinhos,20250607_2206," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?","Não o controle, eu pedi a própria garra. Eu vi que ele não sabia se ele tava na frente ou mais, não tava. Mas quando eu vi a garra, consegui acertar ele e funcionar.",gatilho de fácil localização
6. Captura de animais marinhos,20250608_1448,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,Também na instrução. Tinha o desenho na instrução lá embaixo.,descoberta por instrução
6. Captura de animais marinhos,20250608_1448,Como foi sua experiência ao tentar capturar um animal marinho?,Foi tranquilo,experiência positiva
6. Captura de animais marinhos,20250608_1448,Como você sabia o momento certo para fechar as garras?,"Poxa, eu tentava chegar próximo pra fechar quando tava brilhando. Às vezes não funcionava tão bem, mas...","dificuldade na ação de captura, fechamento baseado em pista visual"
6. Captura de animais marinhos,20250608_1448,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,Não.,abir e fechar sem dificuldade
6. Captura de animais marinhos,20250608_1448," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Também não.,gatilho de fácil localização
6. Captura de animais marinhos,20250608_1520,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,"É, o tutorial deu. Eu esqueci um pouquinho, mas aí eu ficava testando no meio do jogo.","descoberta por instrução, descoberta por tentativa e erro"
6. Captura de animais marinhos,20250608_1520,Como foi sua experiência ao tentar capturar um animal marinho?,"Como eu disse no início, eu esqueci que eu podia mexer com a garrinha, mas depois que eu lembrei foi bem fácil.",não relacionado
6. Captura de animais marinhos,20250608_1520,Como você sabia o momento certo para fechar as garras?,Quando eu tava perto do peixe.,fechamento por intuição
6. Captura de animais marinhos,20250608_1520,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"Não, só esqueci mesmo. Mas é normal, porque em muitos jogos eu esqueço os botões.",abir e fechar sem dificuldade
6. Captura de animais marinhos,20250608_1520," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?","Não, o controle é agradável na mão, não sei explicar.",gatilho de fácil localização
6. Captura de animais marinhos,20250609_2048,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,Acho que esse foi só apertado mesmo. Esse eu tentei e fechei. Tentativa e erro boa. Boa e velha. Boa e velha.,descoberta por tentativa e erro
6. Captura de animais marinhos,20250609_2048,Como foi sua experiência ao tentar capturar um animal marinho?,"Foi boa, foi boa. Mas os dois que eu tentei, até o primeiro lá... Foi boa, foi boa. Até porque é exatamente a minha mão, então eu fui ali... Tá, tá, tá.",experiência positiva
6. Captura de animais marinhos,20250609_2048,Como você sabia o momento certo para fechar as garras?,É... porque eu tava em cima do peixe.,fechamento por intuição
6. Captura de animais marinhos,20250609_2048,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"Bom... era literalmente minha mão, mas não...",abir e fechar sem dificuldade
6. Captura de animais marinhos,20250609_2048," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Não.,gatilho de fácil localização
7. Cura dos animais,20250607_1653,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",No inicio não. Depois sim. Quando eu entendi eu olhava a barra e apertava o gatilho.,"confusão inicial sobre o que fazer, compreensão da mecânica de cura"
7. Cura dos animais,20250607_1653,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,Foi pela intuição,ação por intuição
7. Cura dos animais,20250607_1653,Como você identificou no controle o responsável por parar o ponteiro no local certo?,Pela explicação,identificação via instrução
7. Cura dos animais,20250607_1653,Como você descreveria o que sentiu no momento do mini game de cura?,"Ah, eu senti um... eu senti que foi bom, né, pra poder salvar os peixes.",sensação positiva no minigame
7. Cura dos animais,20250607_1653,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Só no inicio.,gatilho perdido
7. Cura dos animais,20250607_1653,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Depois da primeira captura sim. Eu vi que eu estava ajudando, depois que ele saiu nadando.",sensação de cuidar dos animais
7. Cura dos animais,20250607_1728,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",Sim. Salvar o peixinho.,compreensão do objetivo
7. Cura dos animais,20250607_1728,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,Apertava quando chegava no verde. Isso.,reação ao feedback visual
7. Cura dos animais,20250607_1728,Como você identificou no controle o responsável por parar o ponteiro no local certo?,Quando apertava o botão.,tentativa e erro
7. Cura dos animais,20250607_1728,Como você descreveria o que sentiu no momento do mini game de cura?,Confusa.,sensação negativa no minigame
7. Cura dos animais,20250607_1728,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Sim.,gatilho perdido
7. Cura dos animais,20250607_1728,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?",Sim. Eu estava salvando o peixinho. A satisfação.,"compreensão da mecânica de cura, sensação de cuidar dos animais"
7. Cura dos animais,20250607_1903,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",Sim.,compreensão do objetivo
7. Cura dos animais,20250607_1903,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Quando ele tava chegando no verde, eu apertava. E aí ele parava certinho.",reação ao feedback visual
7. Cura dos animais,20250607_1903,Como você identificou no controle o responsável por parar o ponteiro no local certo?,"Ah, ele apareceu. Fiquei pensando aqui pra poder lembrar. Ele apareceu que era pelo lateral. E aí nos outros eu já sabia, então já fui automático.",identificação via instrução
7. Cura dos animais,20250607_1903,Como você descreveria o que sentiu no momento do mini game de cura?,"No começo eu fiquei meio aflita, porque eu tava meio tentando entender como é que era. Mas depois do primeiro peixinho foi mais tranquilo, assim, foi ficando mais calma. E deu pra aproveitar melhor.","compreensão da mecânica de cura, sensação negativa inicial no minigame, sensação positiva no minigame"
7. Cura dos animais,20250607_1903,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Não.,gatilho mantido
7. Cura dos animais,20250607_1903,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não. Eu acho que porque o fato de eu estar só apertando para chegar no verde, acho que eu não entendi muito bem o que o verde faria com o peixe. Eu estou salvando o peixe só apertando no verde. Acho que se fosse uma outra coisa, não sei porque também teria que pensar. Mas acho que se fosse uma outra tarefa, eu acho que seria melhor.","compreensão da mecânica de cura, ausência de vínculo emocional, distânciamento entre objetivo e mecânica"
7. Cura dos animais,20250607_1941,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",Sim. Pra... Desinfectar alguns peixes e tal..,compreensão do objetivo
7. Cura dos animais,20250607_1941,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Meu tempo de reação, isso com a velocidade do game.",reação ao feedback visual
7. Cura dos animais,20250607_1941,Como você identificou no controle o responsável por parar o ponteiro no local certo?,É... pelo tutorial.,identificação via instrução
7. Cura dos animais,20250607_1941,Como você descreveria o que sentiu no momento do mini game de cura?,"É... Acho que... Faltou um pouco de... Recompensa. Na experiência, porque aí... Depois que você cura o peixe, nada acontece, né? Ah, próximo. Acho que... Poderia ter algo mais... Interativo, né? Assim, no jogo.","ausência de vínculo emocional, falta de recompensa"
7. Cura dos animais,20250607_1941,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Não.,gatilho mantido
7. Cura dos animais,20250607_1941,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não. Acho que o mini-game é muito distante. Acho que se mudasse o pra, tipo, um remédio ou algo assim acho que daria essa... essa impressão maior de um cuidado de cura, né?","ausência de vínculo emocional, distânciamento entre objetivo e mecânica"
7. Cura dos animais,20250607_2206,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?","Que era capturar o animal e cuidar do animal ali baseado numa outra tarefa que vem depois de capturar ali, que era acertar a verdinha.",compreensão da mecânica de cura
7. Cura dos animais,20250607_2206,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Cara, acho que foi os três comuns, você deixar a barra passar, pra você pegar a velocidade que ela tá, aí na volta, você entender esse padrão e apertar no meio, e que você já conhece a velocidade dela mais ou menos.",reação ao feedback visual
7. Cura dos animais,20250607_2206,Como você identificou no controle o responsável por parar o ponteiro no local certo?,"Acho que teve uma instrução, se não me engano, que esclareceu o botão. Aí eu comecei a ter a familiaridade que existia um botão lateral ali, apesar de não ser tão intuitivo, porque ele é lateral. Mas eu acertei por causa disso, por causa da instrução.",identificação via instrução
7. Cura dos animais,20250607_2206,Como você descreveria o que sentiu no momento do mini game de cura?,"Achei um pouco normal, assim, um pouco tediado. Acho que pegar o bicho é mais legal do que ficar só apertando o verde ali, três vezes.","sensação negativa no minigame, ação tediosa"
7. Cura dos animais,20250607_2206,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?","Cara, não perdi o controle, eu intuitivamente, às vezes eu apertava o gatilho de dar garra, o gatilho principal ali de atirar, como se eu andasse para parar e falasse, não, não, esqueci, eu apertava depois.","ação por intuição, tentativa e erro, gatilho mantido"
7. Cura dos animais,20250607_2206,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não muito. Primeiro que o bicho não parecia estar doente, ele estava brilhando mesmo ali. E depois eu não tive nenhum feedback, assim tipo, ele pegou o bicho, aí você tá vendo ele saindo, ou sei lá, feliz. Não, ele só some ali e pá, passou e pegou. Parece que capturei o bicho também.","ausência de vínculo emocional, distânciamento entre objetivo e mecânica, sensação negativa no minigame, falta de recompensa"
7. Cura dos animais,20250608_1448,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",Era pra curar os peixinhos.,compreensão do objetivo
7. Cura dos animais,20250608_1448,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Ah, eu prestava atenção na barrinha, pra não ficar mais perto do centro, eu apertava o gatilho.",reação ao feedback visual
7. Cura dos animais,20250608_1448,Como você identificou no controle o responsável por parar o ponteiro no local certo?,Na instrução também.,identificação via instrução
7. Cura dos animais,20250608_1448,Como você descreveria o que sentiu no momento do mini game de cura?,"Ok, foi tranquilo.",sensação positiva no minigame
7. Cura dos animais,20250608_1448,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Não.,gatilho mantido
7. Cura dos animais,20250608_1448,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não. Não tinha nada identificando se o peixe estava doente, então... Não tinha, assim... Não tinha uma barrinha falando lá, tipo, o peixe tá aqui, tá doente, aí você vai acertando e vai enchendo. Ou alguma cor diferente, não tinha nada do tipo.","ausência de vínculo emocional, falta de recompensa, distânciamento entre objetivo e mecânica"
7. Cura dos animais,20250608_1520,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?",Sim. Pegar o peixinho dourado.,não compreendeu o objetivo
7. Cura dos animais,20250608_1520,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Eu esperava ir e voltar mais uma vez, ir pra ver a velocidade e na hora acertar. Pra conseguir entender a velocidade que tava ali.",ação por intuição
7. Cura dos animais,20250608_1520,Como você identificou no controle o responsável por parar o ponteiro no local certo?,"Ah, tinha no tutorial também. Tudo tinha no tutorial, tava explicadinho lá. Só não lembro qual que é agora.",identificação via instrução
7. Cura dos animais,20250608_1520,Como você descreveria o que sentiu no momento do mini game de cura?,Minigame de cura? Não lembro o nome. Ah! Achei bem tranquilo. Só esperar ele voltar e apertar o negocinho.,compreensão da mecânica de cura
7. Cura dos animais,20250608_1520,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?","Não, não.",gatilho mantido
7. Cura dos animais,20250608_1520,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não. Porque eu achei muito fácil esse joguinho. A barra era muito devagar, então com certeza eu ia conseguir acertar a zona verde. Se fosse mais difícil talvez, e aí eu perdesse e tivesse que pegar o peixe de novo, Aí seria um pouco diferente, mas era muito devagar e muito fácil, então... Dava pra que eu sempre acertava o verde.","distânciamento entre objetivo e mecânica, jogo tedioso"
7. Cura dos animais,20250609_2048,"Após a captura do primeiro animal marinho, você entendeu o que era para fazer?","Sim. Capturar animais marinhos e... Fazer alguma coisa neles pra liberar eles de novo melhorados. E limpar, sei lá, cuidar.",compreensão do objetivo
7. Cura dos animais,20250609_2048,Qual a estratégia você usou para acertar a zona verde do mini game de cura?,"Olhar. Então olhar. Não tem muita técnica, quando tava no meio já apertava.",reação ao feedback visual
7. Cura dos animais,20250609_2048,Como você identificou no controle o responsável por parar o ponteiro no local certo?,"Não sei. Acho que foi o.. Acho que o tutorial falou, sei lá. Esqueci, na verdade foi intuitiva. Dei a tirada, saquei.",identificação via instrução
7. Cura dos animais,20250609_2048,Como você descreveria o que sentiu no momento do mini game de cura?,É... é... satisfação.,sensação positiva no minigame
7. Cura dos animais,20250609_2048,"Em algum momento você ""perdeu"" no controle o gatilho responsável por parar o ponteiro?",Não.,gatilho mantido
7. Cura dos animais,20250609_2048,"Durante o minigame de cura, você teve a sensação de que estava realmente cuidando ou ajudando os animais? O que no jogo reforçou (ou dificultou) essa sensação?","Não. Não é tipo, não é tipo... Acho que é. Isso aí, pensando pro outro lado do game, podia ter um negócio, porra, passamos o homem no peixe, tirou o plástico da tartaruga.",distânciamento entre objetivo e mecânica
8. Instruções e compreensão,20250607_1653,O que você achou da voz com as instruções do jogo?,"Pra mim, que nunca tive essa experiência, ele poderia ser um pouco mais direto, né? Explicar melhor no início, né? É, alguém que já tem controle com a realidade virtual, isso seria fácil. Mas pra mim que foi a primeira vez, até me identificar isso foi um pouco mais complicado.",instrução narrada poderia ser mais direta
8. Instruções e compreensão,20250607_1653,Você conseguiu ler as instruções que apareceram no painel?,Não.,leitura comprometida
8. Instruções e compreensão,20250607_1653,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Salvar os peixes.,objetivo: salvar os peixes
8. Instruções e compreensão,20250607_1653,Como você avaliaria as instruções de como controlar o submarino?,"Médio. Porque eu não tinha experiência com obesidade virtual. Então até eu tentar entender o que ela estava querendo dizer para mim, eu fiquei meio perdido.","instrução de controle confusa ou ausente, ruim para iniciantes"
8. Instruções e compreensão,20250607_1653,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,"Claro, foi boa.",instrução compreendida
8. Instruções e compreensão,20250607_1653,O que você achou das orientações para o processo de cura dos animais?,"Bom, também. De cara não, deu para entender bem né? Nesse foi meio que...","ruim para iniciantes, mais explicações para a cura"
8. Instruções e compreensão,20250607_1653,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","É, acho que é por isso que eu falei. Mais ticas seria melhor. Senti falta de explicação justamente nas garras, no radar, que eu nem vi o radar.","instrução insuficiente, mais explicações para as garras, mais explicações para o radar"
8. Instruções e compreensão,20250607_1728,O que você achou da voz com as instruções do jogo?,"Bem... Boa, boa. Boa explicação.","instrução narrada elogiada, intrução narrada clara"
8. Instruções e compreensão,20250607_1728,Você conseguiu ler as instruções que apareceram no painel?,"Às vezes, sim.",leitura comprometida
8. Instruções e compreensão,20250607_1728,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Salvar o peixinho.,objetivo: salvar os peixes
8. Instruções e compreensão,20250607_1728,Como você avaliaria as instruções de como controlar o submarino?,Ótimo.,instrução de controle compreendida
8. Instruções e compreensão,20250607_1728,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,Foi um pouco difícil.,"instrução confusa ou ausente, mais explicações para as garras"
8. Instruções e compreensão,20250607_1728,O que você achou das orientações para o processo de cura dos animais?,Ótimo.,"instrução compreendida, instrução de cura compreendida"
8. Instruções e compreensão,20250607_1728,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?",Não.,nada para acrescentar
8. Instruções e compreensão,20250607_1903,O que você achou da voz com as instruções do jogo?,"Tá muito bom, muito bom.",instrução narrada elogiada
8. Instruções e compreensão,20250607_1903,Você conseguiu ler as instruções que apareceram no painel?,"Sim, sim.",sucesso na leitura
8. Instruções e compreensão,20250607_1903,"Após a introdução, o que você compreendeu que deveria fazer no jogo?","Após as instruções, eu entendi que eu tinha que ir com o submarino virando, andando, procurando os peixinhos Procurar o que fazia de uma bordinha, né? Brilhante, pra poder agarrar ele E aí ele ficava preso ali, aí tinha essa etapa do apertar no verde, que seria o salvamento dele E depois de fazer isso três meses, ele estaria salvo, né? Ele estaria bem ali","objetivo: procurar peixinhos, objetivo: salvar os peixes"
8. Instruções e compreensão,20250607_1903,Como você avaliaria as instruções de como controlar o submarino?,"Foram claras, foram claras.",não relacionado
8. Instruções e compreensão,20250607_1903,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,"Foi tudo bem, foi claro também.",instrução de controle compreendida
8. Instruções e compreensão,20250607_1903,O que você achou das orientações para o processo de cura dos animais?,"Para o processo de cura, eu achei que podia ser um pouquinho mais aprofundado. Talvez ter mais detalhes sobre o que que seria aquilo. Que era só assim, ah, você tem que botar no verde, mas por quê? Explicar o que que isso faria. Acho que seria menos interessante.",mais explicações para a cura
8. Instruções e compreensão,20250607_1903,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?",Eu acho que só essa parte do... Do que tá fazendo de fato ali.,mais explicações para a cura
8. Instruções e compreensão,20250607_1941,O que você achou da voz com as instruções do jogo?,"Achei bem boa. É sincronizada, no tom certo. Achei show.","instrução narrada elogiada, intrução narrada clara"
8. Instruções e compreensão,20250607_1941,Você conseguiu ler as instruções que apareceram no painel?,Sim.,sucesso na leitura
8. Instruções e compreensão,20250607_1941,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Eu deveria caçar os peixes que estivessem brilhando. Curar os peixes.,"objetivo: procurar peixinhos, objetivo: salvar os peixes"
8. Instruções e compreensão,20250607_1941,Como você avaliaria as instruções de como controlar o submarino?,"São boas. Acredito que... Uma pessoa que não tenha tanta... Não tenha tido nenhum contato, né? Acaba tendo um pouco mais de dificuldade.","instrução de controle compreendida, ruim para iniciantes"
8. Instruções e compreensão,20250607_1941,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,Foi bem tranquilo.,instrução das garras compreendida
8. Instruções e compreensão,20250607_1941,O que você achou das orientações para o processo de cura dos animais?,"Foi tranquilo, bem direto também.",instrução de cura compreendida
8. Instruções e compreensão,20250607_1941,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?",Não,sem necessidade de instruções adicionais
8. Instruções e compreensão,20250607_2206,O que você achou da voz com as instruções do jogo?,"Cara, do que eu me lembro eu achei ok, ficou claro.",intrução narrada clara
8. Instruções e compreensão,20250607_2206,Você conseguiu ler as instruções que apareceram no painel?,"Consegui ler. Teve ali só algum momento que eu vi que a instrução não tinha muito a ver com a próxima ação que eu ia fazer, aí eu ignorava. Mas quando eu precisei mesmo ali e era a instrução certa, eu consegui.","sucesso na leitura, instrução aparecendo no momento errado, instrução confusa ou ausente"
8. Instruções e compreensão,20250607_2206,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Que era para curar os animais marinhos.,objetivo: procurar peixinhos
8. Instruções e compreensão,20250607_2206,Como você avaliaria as instruções de como controlar o submarino?,"Cara, não me recordo de ter sido instrução em relação a isso. Foi meio que na intuição, não sei. Pelo menos eu não me lembro da instrução utilizada.",esqueceu da instrução
8. Instruções e compreensão,20250607_2206,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,"Depois que ele me mostrou como fazer isso e tem um exemplo prático dele fazendo, se tornou simples.",instrução das garras compreendida
8. Instruções e compreensão,20250607_2206,O que você achou das orientações para o processo de cura dos animais?,"Ficou claro que eu tinha que fazer, que tinha que acertar o verde e já tinha explicado qual era o botão. Então, ao invés de ser um encontro intuitivo com o botão, achei tranquilo de conseguir pular depois que eu pegava.",instrução de cura compreendida
8. Instruções e compreensão,20250607_2206,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","Senti quando eu me perdi um pouco, né? Eu acho que poderia ter... Não sei, ou uma dica ou algum reset de câmera que te botasse mais próximo do peixe de novo, assim, porque eu fiquei meio caralho, não sei se eu tô muito perdido, não sei pra onde eu tô, já tava começando a me ficar incomodando, tava achando o peixe brilhante, saca? Então ele embrutou assim na minha tela depois de um tempo, talvez. Aí não sei, é mais deep, mas na minha cabeça, depois de um tempo perdido, seria bom se o peixe meio que aparecesse perto de você, sabe? Porque senão incomoda a gente não estar achando ele.",não relacionado
8. Instruções e compreensão,20250608_1448,O que você achou da voz com as instruções do jogo?,"Tranquila, achei boa",instrução narrada elogiada
8. Instruções e compreensão,20250608_1448,Você conseguiu ler as instruções que apareceram no painel?,"Depende. Às vezes estava muito rápido, apesar de ter a voz. Pra mim, no caso, fica difícil ler e ouvir ao mesmo tempo. E quando eu estava acompanhando a lendo, estava muito rápido.","instrução confusa ou ausente, instrução parcialmente acessível, não dá tempo de ler"
8. Instruções e compreensão,20250608_1448,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Pegar os peixinhos brilhantes e curá-los.,"objetivo: procurar peixinhos, objetivo: salvar os peixes"
8. Instruções e compreensão,20250608_1448,Como você avaliaria as instruções de como controlar o submarino?,"Acho que pode melhorar, porque tem algumas instruções que não estão ali, tipo, iniciar o jogo, talvez também essa questão do radar, acho que pode estar mais visível, não sei se vai ficar desse jeito, talvez botar um brilinho nele assim, tipo, pra destacar bem isso. Acho que poderia ajudar.",não relacionado
8. Instruções e compreensão,20250608_1448,Como foi entender o funcionamento das garras do submarino a partir das instruções fornecidas?,Foi tranquilo.,instrução das garras compreendida
8. Instruções e compreensão,20250608_1448,O que você achou das orientações para o processo de cura dos animais?,Também foi okay,instrução de cura compreendida
8. Instruções e compreensão,20250608_1448,"Durante o jogo, você sentiu falta de dicas ou orientações adicionais? Onde e de que tipo?","Tirando essas que eu falei de início do jogo, do radar, acho que não.","mais explicações para o radar, radar mais visivel, instruções de como iniciar o jogo"
8. Instruções e compreensão,20250608_1520,O que você achou da voz com as instruções do jogo?,"Ah, deu para entender bem, achei bem clara.","instrução narrada elogiada, intrução narrada clara"
8. Instruções e compreensão,20250608_1520,Você conseguiu ler as instruções que apareceram no painel?,"Tive um pouco de dificuldade, porque eu tinha que olhar pra baixo. E... eu esqueci de olhar pra baixo. Aí eu ficava mais pela voz do que pelo escrito. Aí só que às vezes a voz não funciona muito, porque eu esqueço rápido. Então se eu leio, acaba que eu fixo mais, tipo... É diferente. Eu sou melhor lendo do que escutando.","instrução parcialmente acessível, leitura comprometida, esqueceu da instrução"
8. Instruções e compreensão,20250608_1520,"Após a introdução, o que você compreendeu que deveria fazer no jogo?",Que eu tive que pegar peixinhos... que tem bordinhas brilhantes.,objetivo: procurar peixinhos
8. Instruções e compreensão,20250608_1520,Como você avaliaria as instruções de como controlar o submarino?,"Ah, achei bem fácil, bem explicativo.",instrução de controle compreendida
